,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
2620,"
3 bedroom apartment for sale in Riverside
","

 Riverside Drive, Riverside, Westlands

",-,"
3
","








4

","
3 bedroom Duplex apartment with a Garden for sa...
",Sky Limits Ventures,"
KSh 50,000,000
"
2621,"
4 bedroom townhouse for sale in Karen
","

Miotoni, Karen, Langata

",-,"
4
","








5

","
4 Bedroom Townhouse
",Links Properties,"
KSh 78,000,000
"
2622,"
5 bedroom house for sale in Old Muthaiga
","

Naivasha Avenue, Old Muthaiga, Muthaiga

",-,"
5
","








6

","
5bedroom Home For Sale
",Unique Listings Limited,"
KSh 270,000,000
"
2623,"
Furnished 5 bedroom house for sale in Spring Valley
","

Spring Valley Road, Spring Valley, Westlands

",-,"
5
","








6

","
For sale: 5 bedroom villa sitting on 1/4 acre i...
",First Villas,"
KSh 65,000,000
"
2624,"
Furnished 4 bedroom townhouse for sale in Runda
","

Runda, Westlands

",-,"
4
",-,"
2 townhouses, each of 4 Bedroom on half an acre...
",Archstone Realtors,"
KSh 120,000,000
"
2625,"
Furnished 6 bedroom house for sale in Karen
","

Karen, Langata

",-,"
6
","








6

","
6bedroom New Fully ambassadorial home in Karen...
",Badilisha Properties,"
KSh 200,000,000
"
2626,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
372 m²
","
5
","








6

","
5 bedrooms townhouse for sale in Karen
",Kenya Classic Homes,"
KSh 75,000,000
"
2627,"
Commercial land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
2.3acres flat land in the Cream part of Lavingt...
",Badilisha Properties,"
KSh 700,000,000
"
2628,"
43708 m² commercial property for sale in Karen
","

Karen, Langata

","
43708 m²
",-,-,"
Karen Watermark Court For Sale
",HassConsult,"
KSh 15,000,000
"
2629,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

","
418 m²
","
5
","








5

","
LAVINGTON&#39;S HIGH END TOWN HOUSES
",Olympia Gold Real Estate,"
KSh 69,000,000
"
2630,"
Land for sale in Parklands
","

Kolobot, Parklands, Westlands

",-,-,-,"
1.7 Acre for sale Ngara/ Parklands
",Apricot Property Solutions Limited,"
KSh 430,000,000
"
2631,"
4 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
4
","








5

","
Runda 4 bedroom mansion for sale
",Canaan Properties,"
KSh 73,000,000
"
2632,"
3 bedroom apartment for sale in Riverside
","

14, Riverside Drive, Riverside, Westlands

","
205 ft²
","
3
","








2

","
Luxurious 3 Bedroom apartment
",Royani Properties Limited,"
KSh 29,000,000
"
2633,"
4 bedroom townhouse for sale in Thika Road
","

Membley, Tatu city Area, Thika Road, Thika Road

","
180 m²
","
4
","








 4

","
Serene and Spacious 4 Bedroom with Dsq townhous...
",Kijani Homes Realtors,"
KSh 17,500,000
"
2634,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








3

","
4 bedroomed townhouse or sale in lavington
",Azizi Realtors,"
KSh 40,000,000
"
2635,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
108 m²
","
2
","








2

","
EXQUISITE AND SPACIOUS 2 BEDROOM FOR SALE.
",Round The Clock Homes,"
KSh 8,800,000
"
2636,"
3 bedroom house for sale in Donholm
","

Greenfields, Donholm, Embakasi

",-,"
3
","








2

","
3 BEDROOMS MASSIONATE 11M GREENFIELD DONHOLM
",Sixty SpaceCastles,"
KSh 11,000,000
"
2637,"
5 bedroom villa for sale in Ridgeways
","

Ridgeways, Ridgeways

",-,"
5
","








5

","
Palatial 5 Bedroom House For Sale in Ridgeways
",Mimshakh Dunamis Global Ltd,"
KSh 350,000,000
"
2638,"
5 bedroom townhouse for sale in Karen
","

7, Ololua, Karen, Langata

","
6488 ft²
","
5
","








6

","
Exclusive Five Bedroom Townhouses For Sale In K...
",Westside Real Estate,"
KSh 90,000,000
"
2639,"
4 bedroom house for sale in Gigiri
","

Gigiri, Westlands

","
2226 m²
","
4
",-,"
4 Bed Standalone for sale
",HassConsult,"
KSh 118,000,000
"
2640,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
",-,"
A newly build 3bedroom apartment for sale in Pa...
",Canaan Properties,"
KSh 22,000,000
"
2641,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
50 m²
","
1
","








1

","
1 BEDROOM APARTMENT IN KILIMANI.
",Abode Realty,"
KSh 5,500,000
"
2642,"
4 bedroom townhouse for sale in Lavington
","

Convent Road, Lavington, Dagoretti North

",-,"
4
","








4

","
4 Bedroom House for Sale
",Trendy Living,"
KSh 52,000,000
"
2643,"
3 bedroom house for sale in Buruburu
","

Buruburu Ph v, Buruburu, Embakasi

",-,"
3
","








2

","
House for Sale
",Red Knot  Properties Limited,"
KSh 11,500,000
"
2644,"
Residential land for sale in Garden Estate
","

Garden Estate, Roysambu

",-,-,-,"
Prime Residential land, Garden Estate.
",Saxman Group,"
KSh 38,000,000
"
2645,"
Land for sale in Kahawa West
","

Kahawa West, Roysambu

",-,-,-,"
Plot for sale in Kahawa West
",Cura International,"
KSh 11,000,000
"
2646,"
297 m² residential land for sale in Utawala
","

Utawala, Embakasi

","
297 m²
",-,-,"
utawala Plots for Sale
",Landmark Realtors Ltd,"
KSh 2,000,000
"
2647,"
5 bedroom townhouse for sale in Lavington
","

Kanjata Road, Lavington, Dagoretti North

",-,"
5
",-,"
Lavington, Kanjata Road, New Townhouses - FOR S...
",FAPCL Group,"
KSh 75,000,000
"
2648,"
4 bedroom house for sale in Muthaiga Area
","

Limuru Road, Muthaiga Area, Muthaiga

","
6313 m²
","
4
","








4

","
4 bedroom house on 1.56 acres for sale in Mutha...
",Knight Frank Kenya,"
KSh 140,000,000
"
2649,"
4 bedroom townhouse for sale in Langata Area
","

Langata Area, Langata

",-,"
4
","








3

","
4 bedroom maisonette FOR SALE -phenon park
",Regent Management Ltd,"
KSh 26,000,000
"
2650,"
5 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

",-,"
5
","








5

","
Peponi Road, 5 Bedroom Villas (Off Plan) in a g...
",FAPCL Group,"
KSh 85,000,000
"
2651,"
6 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

","
4047 m²
","
6
","








8

","
Prestigious 6 Bedroom Home
",GerryVille Homes,"
KSh 499,000,000
"
2652,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
500 m²
","
4
","








5

","
AN AMAZING MODERN BUILT TOWN HOUSE OFF KIAMBU R...
",Blessed Shelters Agency,"
KSh 36,000,000
"
2653,"
4 bedroom house for sale in Karen
","

Karen, Langata

","
2024 m²
","
4
","








5

","
Luxurious & Premium 4 & 5 bedroom residential d...
",A1 Properties Ltd,"
KSh 90,000,000
"
2654,"
Furnished 4 bedroom townhouse for sale in Runda
","

Runda, Westlands

",-,"
4
",-,"
4-bed garden 2,100 sq.ft. off Kiambu Road, Two...
",Archstone Realtors,"
KSh 32,500,000
"
2655,"
2 bedroom villa for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
2
","








1

","
Santack Bungalow- Ngong Road
",Tysons Limited,"
KSh 8,500,000
"
2656,"
5 bedroom house for sale in Karen
","

Karen, Langata

","
2000 m²
","
5
",-,"
For sale: 5 bedroom house in a gated estate in...
",First Villas,"
KSh 100,000,000
"
2657,"
5 bedroom house for sale in Mombasa Road
","

Riverside, Mombasa Road, Mombasa Road

",-,"
5
","








4

","
2 Bedroom Apartment For Sale In Riverside
",Royal Properties Market Limited,"
KSh 13,000,000
"
2658,"
5 bedroom townhouse for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,"
5
",-,"
5br Townhouses In Lower Kabete
",Jakharris Africa Ltd,"
KSh 85,000,000
"
2659,"
3 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
505 m²
","
3
","








2

","
Beautiful 3 Bedroomed Townhouse For Sale In Ede...
",LIflac Properties,"
KSh 21,500,000
"
2660,"
5 bedroom townhouse for sale in Karen
","

Near WaterFront, Karen, Langata

","
1000 m²
","
5
","








7

","
Luxury New 5 Bedrooms + SQ For Two Townhouse Fo...
",Sir Francis Marketing & Consultants Ltd,"
KSh 160,000,000
"
2661,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
40 m²
","
0
","








1

","
STUDIO APARTMENT FOR SALE, NEW, IN KILIMANI, KI...
",Splendor Holdings,"
KSh 4,500,000
"
2662,"
1 bedroom apartment for sale in Pangani
","

Pangani, Starehe

","
47 m²
","
1
","








1

","
Oasis Apartments by Pramukh Developers Limited
",Pramukh Developers Limited,"
KSh 5,300,000
"
2663,"
5 bedroom villa for sale in Karen
","

Ndege Rd, Karen, Langata

",-,"
5
","








6

","
Exquisite 5 Bedroom Villa for Sale in Karen
",Sky Limits Ventures,"
KSh 120,000,000
"
2664,"
5 bedroom house for sale in Karen
","

Ushirika Road, Karen, Langata

",-,"
5
","








5

","
5 bedroom house for sale in Ushirika Road, Kare...
",Knight Frank Kenya,"
KSh 100,000,000
"
2665,"
Residential land for sale in Karen
","

Langata south road, Karen, Langata

",-,-,-,"
Half in acres Karen for sale
",Pemukika Agency,"
KSh 32,000,000
"
2666,"
Land for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
0.47 Acres in Westlands
",Henley Green Realty,"
KSh 200,000,000
"
2667,"
5 bedroom townhouse for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,"
5
","








5

","
5 BEDROOM TOWNHOUSE, SHANZU WESTLANDS
",Royal Properties Market Limited,"
KSh 95,000,000
"
2668,"
4 bedroom townhouse for sale in Westlands Area
","

Westlands Area, Westlands

","
300 m²
","
4
","








4

","
4 Bedroom Townhouse for sale in Westlands
",Trisums Investments Company Ltd,"
KSh 40,000,000
"
2669,"
4 bedroom apartment for sale in Kilimani
","

Kindaruma Rd, Kilimani, Dagoretti North

",-,"
4
","








5

","
4 bedroom all ensuite plus SQ in Kilimani
",Knitter Properties Kenya,"
KSh 16,650,000
"
2670,"
0.5 ac land for sale in Dagoretti Corner
","

Dagoretti Corner, Dagoretti South

",-,-,-,"
Land for sale in Dagoretti Corner
",Azizi Realtors,"
KSh 65,000
"
2671,"
3 bedroom house for sale in Langata Area
","

Langata Area, Langata

",-,"
3
 ","








2

","
House for Sale in Langata- Southlands Estate
",Tysons Limited,"
KSh 15,000,000
"
2672,"
4047 m² commercial land for sale in Upper Hill
","

Matumbato Road, Upper Hill, Langata

","
4047 m²
",-,-,"
1 Acre Prime Plot For Sale in Upper Hill
",Simkar Group Limited,"
KSh 500,000,000
"
2673,"
3 bedroom townhouse for sale in Donholm
","

Donholm, Embakasi

",-,"
3
","








2

","
3 Bedroom with Dsq House for sale in Donholm Oy...
",Landmark Realtors Ltd,"
KSh 11,000,000
"
2674,"
3 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
3
","








3

","
GLORIOUS 3 Bed Apartments: REMARKABLE VALUE
",Citiscape Valuers & Estate Agents Ltd,"
KSh 13,950,000
"
2675,"
4 bedroom villa for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
Lavington 4bedroom House on sale
",Canaan Properties,"
KSh 82,500,000
"
2676,"
5 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
5
","








6

","
A STUNNING FIVE BEDROOM MODERN STAND ALONE HOUS...
",Blessed Shelters Agency,"
KSh 150,000,000
"
2677,"
45000 ft² warehouse for sale in Industrial Area
","

074, Industrial Area, Embakasi

","
45000 ft²
",-,-,"
45000 sq feet godowns for sale
",Highmack Enterprises,"
KSh 220,000,000
"
2678,"
Residential land for sale in Eastleigh
","

Eastleigh, Kamukunji Constituency

",-,-,-,"
PRIME 1/2 ACRE PLOT IN EASTLEIGH
",Lighthouse Homes Limited,"
KSh 35,000,000
"
2679,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

","
400 m²
","
4
","








5

","
Beautiful 4 Bedroom Townhouse For Sale in Kare...
",Nuru Breeze Homes Realty Limited,"
KSh 65,000,000
"
2680,"
4 bedroom villa for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
Karen 4 Bedroom Villas for Rent / Sale
",J.M McCarthy Properties Ltd,"
KSh 65,000,000
"
2681,"
5 bedroom house for sale in Runda
","

runda, runda, Runda, Westlands

","
1400 m²
","
5
","








6

","
Brand New Ambassadorial house in Runda
",Jafari Homes Limited,"
KSh 320,000,000
"
2682,"
Office for sale in Parklands
","

The Westery, Parklands, Westlands

",-,-,-,"
Office for Sale in The Westery, Parklands
",Crystal Valuers LTD,"
KSh 8,500
"
2683,"
3 bedroom apartment for sale in Embakasi Estate
","

Embakasi Estate, Embakasi

",-,"
3
","








2

","
3 bedroom apartment for sale in Embakasi
",-,"
KSh 5,500,000
"
2684,"
5 bedroom house for sale in Loresho
","

Loresho, Westlands

",-,"
5
","








6

","
The Haven - Luxury 5 Bedroom Homes For Sale In...
",Coral Property International Ltd,"
KSh 102,500,000
"
2685,"
3 bedroom apartment for sale in Kilimani
","

1022w, Yaya Centre, Kilimani, Kilimani, Dagoretti North

","
1500 ft²
","
3
","








4

","
Extraordinary three bedroom apartment in Kilima...
",Ace Realtors Limited,"
KSh 9,750,000
"
2686,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
120 m²
","
2
",-,"
KILIMANI, NEW 2 BEDROOM APARTMENT + DSQ FOR SA...
",Splendor Holdings,"
KSh 9,000,000
"
2687,"
8.2 ac land for sale in Karen
","

Kerarapon Road Mwitu Drive, Mwitu, Karen, Langata

","
8 ac
",-,-,"
8.2 Acres in Kerarapon road mwitu Estates
",Second Exodus Realtors,"
KSh 480,000,000
"
2688,"
1 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
1
","








1

","
1 BEDROOM SPACIOUS & PRISTINE APARTMENTS IN WES...
",Olympia Gold Real Estate,"
KSh 12,700,000
"
2689,"
4 bedroom house for sale in Karen
","

Karen road, Karen, Langata

",-,"
4
","








4

","
Four bedrooms plus DSQ for sale Karen
",Pemukika Agency,"
KSh 145,000,000
"
2690,"
5 bedroom townhouse for sale in Karen
","

Karen, Karen, Langata

","
2023 m²
","
5
","








6

","
5 Bedroom All En-Suite Townhouses For Sale in K...
",Simkar Group Limited,"
KSh 75,000,000
"
2691,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
743 m²
","
4
","








6

","
4 Bedroom All En-suite Townhouses For Sale in L...
",Simkar Group Limited,"
KSh 90,000,000
"
2692,"
2 bedroom apartment for sale in Waiyaki Way
","

kinoo 87, Waiyaki Way, Westlands

",-,"
2
","








3

","
MODERN APARMENTS AVAILABLE FOR SALE ALING WAIYA...
",Ivy Properties,"
KSh 4,250,000
"
2693,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
5 bedroom plus dsq townhouse
",Azizi Realtors,"
KSh 65,000,000
"
2694,"
2 bedroom apartment for sale in Waiyaki Way
","

muhuri road, kinoo 87, Waiyaki Way, Westlands

",-,"
2
","








3

","
HAVE YOU SEEN OUR MODERN AFFORDABLE APARTMENTS...
",Ivy Properties,"
KSh 4,250,000
"
2695,"
4 bedroom villa for sale in Sub zone
","

Ololua, Sub zone, Ngong

",-,"
4
","








5

","
FOUR-BEDROOM MODERN VILLA FOR SALE IN OLOLUA AR...
",Mahalo Properties Limited,"
KSh 24,500,000
"
2696,"
2 bedroom apartment for sale in Waiyaki Way
","

queens lane, waiyaki way, Waiyaki Way, Westlands

",-,"
2
","








3

","
APARTMENTS FOR SALE ALONG WAIYAKI WAY,MUHURI RO...
",Ivy Properties,"
KSh 3,250,000
"
2697,"
1 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

","
55 m²
","
1
","








2

","
1 bedroom apartments for sale
",B. Nyariki Properties,"
KSh 6,000,000
"
2698,"
Residential land for sale in Karen
","

Forest View Lane, Karen, Langata

",-,-,-,"
0.5 Acre Plots For Sale in Karen Plains
",Simkar Group Limited,"
KSh 30,000,000
"
2699,"
3 bedroom townhouse for sale in Kiambu Road
","

Eden Ville, Kiambu Road, Kiambu Road

",-,"
3
","








3

","
EDEN VILLE Kiambu( phase 1 ) quick sale 23M
",Green Knight Properties,"
KSh 23,000,000
"
2700,"
1 ft² commercial property for sale in Karen
","

Karen, Langata

","
1 ft²
",-,-,"
Office for sale in Karen
",Azizi Realtors,"
KSh 12,500
"
2701,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
","








3

","
Apartment for rent in sixth Parklands
",Cura International,"
KSh 22,500,000
"
2702,"
6 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

","
6800 m²
","
6
","








7

","
Exclusive Residential Townhouses For Sale
",Rainmaker Brokerage Ltd,"
KSh 110,000,000
"
2703,"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
3
 ",-,"
WESTLANDS 3 BED APARTMENT
",Splendour Real Estate,"
KSh 22,000,000
"
2704,"
3 bedroom house for sale in Buruburu
","

MUMIAS SOUTH RD, Buruburu, Embakasi

",-,"
3
","








2

","
3B/RM HOUSE - BURU BURU PHASE ONE KSH 10M Negot...
",HOME CARE ESTATES LTD.,"
KSh 10,000,000
"
2705,"
25 ac commercial land for sale in Karen
","

Karen, Langata

","
25 ac
",-,-,"
25 acres for sale in karen near Giraffe centre...
",Kenya Classic Homes,"
KSh 1,125,000,000
"
2706,"
5 bedroom townhouse for sale in Loresho
","

Loresho, Westlands

",-,"
5
","








5

","
Enchanting Townhouse, Loresho
",Citiscape Valuers & Estate Agents Ltd,"
KSh 64,500,000
"
2707,"
88000 ft² warehouse for sale in Industrial Area
","

009, Lunga Lunga road, Industrial Area, Embakasi

","
88000 ft²
",-,-,"
88000 sq feet godowns for sale in industrial ar...
",Highmack Enterprises,"
KSh 630,000,000
"
2708,"
5 bedroom house for sale in Gigiri
","

Gigiri, Westlands

","
2023 m²
","
5
","








5

","
Strategic 5 Bedroomed Double Storey For Sale In...
",LIflac Properties,"
KSh 120,000,000
"
2709,"
Furnished 5 bedroom house for sale in Runda
","

034, runda mimosa drive, Runda, Westlands

",-,"
5
","








7

","
5 Bedroom House For Sale In Runda
",Mencia Management Ltd.,"
KSh 150,000,000
"
2710,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

","
1349 m²
","
4
","








5

","
4 bedrooms villa all ensuite + dsq in Karen Nai...
",Kenya Classic Homes,"
KSh 65,000,000
"
2711,"
3 bedroom house for sale in Donholm
","

Donholm, Embakasi

",-,"
3
","








2
 
","
3 bedroom maisonette +DSQ
",Regent Management Ltd,"
KSh 15,000,000
"
2712,"
5 bedroom house for sale in Mirema
","

Mirema Drive, Mirema, Muthaiga

",-,"
5
","








4

","
5 Bedroom Townhouse at Mirema Drive in a Gated...
 ",Afrique Properties Limited,"
KSh 25,000,000
"
2713,"
3 bedroom house for sale in South C
","

South C, Jolyn Court, South C, Langata

",-,"
3
","








2

","
3 bedroom House for sale
",Regent Management Ltd,"
KSh 15,000,000
"
2714,"
1 ac land for sale in Karen
","

Mundenderu Road, Karen, Langata

","
1 ac
",-,-,"
 1 Acre Plot for Sale in Langata
",Knight Frank Kenya,"
KSh 45,000,000
"
2715,"
5 bedroom villa for sale in Karen
","

Karen, Langata

",-,"
5
","








4

","
5 bedroom houses for sale in Kaern
",Newpoint Properties,"
KSh 105,000,000
"
2716,"
4 bedroom house for sale in Ridgeways
","

Ridgeways, Ridgeways

",-,"
4
","








4

","
4 Bedroom Mansion at Ridgeways Estate
",Afrique Properties Limited,"
KSh 60,000,000
"
2717,"
5 bedroom townhouse for sale in Runda
","

 Runda Rd, Runda, Westlands

",-,"
5
","








6

","
Impeccable 5 bedroom standalone townhouse for s...
",Sky Limits Ventures,"
KSh 180,000,000
"
2718,"
4 bedroom villa for sale in Embakasi Estate
","

Embakasi Estate, Embakasi

",-,"
4
","








2

","
Avenue Park Estate Bungalow- Embakasi
",Tysons Limited,"
KSh 17,000,000
"
2719,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
HOT DEAL!! 3BEDROOM APARTMENT IN KILIMANI(ALL...
",Splendor Holdings,"
KSh 14,000,000
"
2720,"
3 bedroom apartment for sale in Riverside
","

Riverside, Riverside, Westlands

","
3100 ft²
","
3
","








3

","
3 Bedroom Duplex For Sale in Riverside
",Royalgen Estates,"
KSh 42,000,000
"
2721,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
",-,"
5 bedroom house for sale in Karen (Kenya)
",Pam Golding Properties,"
KSh 260,000,000
"
2722,"
3 bedroom house for sale in Lavington
","

lavington west, Lavington, Dagoretti North

","
4 ac
","
3
","








2

","
3 Bedroom House for sale in Lavington
",Crystal Valuers LTD,"
KSh 30,000,000
"
2723,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
300 ft²
","
4
","








3

","
4 BEDROOMS WITH SQ FOR SALE OFF KIAMBU ROAD
",Trisums Investments Company Ltd,"
KSh 21,945,000
"
2724,"
5 bedroom townhouse for sale in Kitisuru
","

Kitisuru, Kitisuru, Westlands

",-,"
5
","








5

","
5 & 6 Bedroom Houses For Sale In Kitisuru – Mag...
",Coral Property International Ltd,"
KSh 130,000,000
"
2725,"
2 bedroom apartment for sale in Kileleshwa
","

1022w, Kileleleshwa, Near Bypass., Kileleshwa, Dagoretti North

","
1450 ft²
","
2
","








3

","
Spacious two bedroom apartment within Kileleshw...
",Ace Realtors Limited,"
KSh 11,500,000
"
2726,"
4 bedroom house for sale in Kitisuru
","

Nairobi, Kitisuru, Westlands

","
3100 ft²
","
4
","








4

","
Modern 4 Bedroom Townhouse For Sale in Kitisuru
",Coral Property International Ltd,"
KSh 30,000,000
"
2727,"
4 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
286 m²
","
4
","








4

","
Kiambu Road Villas
",Tysons Limited,"
KSh 40,750,000
"
2728,"
5 bedroom villa for sale in Lavington
","

Amboseli, Lavington, Dagoretti North

",-,"
5
","








5

","
Spacious
",Halifax Estate Agency,"
KSh 58,000,000
"
2729,"
4 bedroom house for sale in South C
","

South C, Langata

",-,"
4
","








2

","
House for Sale in South C- Highway Estate
",Tysons Limited,"
KSh 15,500,000
"
2730,"
3 bedroom apartment for sale in Lavington
","

924m, Lavington Estate, Hatheru Road, Lavington, Dagoretti North

","
1800 ft²
","
 3
","








3

","
Extraordinary three bedroom apartment in Laving...
",Ace Realtors Limited,"
KSh 15,000,000
"
2731,"
1 bedroom apartment for sale in Ngong Road
","

Race Course, Ngong Road, Ngong Road

","
55 m²
","
1
","








2

","
Prime Apartments Near Ngong Road Race Course
",Nyumba Yetu Properties,"
KSh 6,000,000
"
2732,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
196 m²
","
3
","








4

","
NEW & LUXURIOUS DEVELOPMENT OF 3 BEDROOM APARTM...
",A1 Properties Ltd,"
KSh 18,800,000
"
2733,"
7 bedroom townhouse for sale in Runda
","

Runda, Runda, Runda, Westlands

",-,"
7
","








9

","
Exquisite 7 bedroom Townhouse for sale at Runda
",THE GRAND RAVIX LIMITED,"
KSh 145,000,000
"
2734,"
2 bedroom apartment for sale in Kiambu Road
","

Thindigua, Kiambu Road, Kiambu Road

",-,"
2
","








2

","
2 & 3 Bedroom Apartment For Sale in Kiambu
",Zenith Homes Management Ltd,"
KSh 8,000,000
"
2735,"
5 bedroom villa for sale in Karen
","

Miotoni, Karen, Langata

",-,"
5
","








7

","
Exclusive 5 bedroom house
",Azizi Realtors,"
KSh 120,000,000
"
2736,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
NEW 2 BEDROOM EXECUTIVE APARTMENT FOR SALE, (H...
",Splendor Holdings,"
KSh 9,000,000
"
2737,"
5 bedroom house for sale in Runda
","

Runda Evergreen, Runda, Westlands

",-,"
5
","








5

","
5bedroom Own Compound Home For Sale
",Unique Listings Limited,"
KSh 63,000,000
"
2738,"
3 bedroom house for sale in South C
","

South C, Langata

",-,"
3
","








2

","
3bedroom Maisonette For Sale South C
",Unique Listings Limited,"
KSh 18,500,000
"
2739,"
4 bedroom house for sale in Kyuna
","

Nairobi, Kyuna, Westlands

",-,"
4
","








4

","
4 Bedroom Townhouse For Sale In Kyuna
",Coral Property International Ltd,"
KSh 95,000,000
"
2740,"
5 bedroom villa for sale in Karen
","

Karen, Langata

","
650 m²
","
5
","








5

","
NEW KAREN 5 BEDROOM ALL ENSUITE VILLA + 2 DSQ O...
",Splendor Holdings,"
KSh 89,000,000
 "
2741,"
4 bedroom townhouse for sale in Kileleshwa
","

Kirichwa Creek, Kileleshwa, Dagoretti North

",-,"
4
","








3

","
House for sale
",Knight Frank Kenya,"
KSh 58,000,000
"
2742,"
Land for sale in Lavington
","

Muthangari Road, Lavington, Dagoretti North

",-,-,-,"
0.781 Acre Plot For Sale in Lavington - Muthang...
",Simkar Group Limited,"
KSh 180,000,000
"
2743,"
4 bedroom townhouse for sale in Thika Road
","

Membley, Thika Road, Thika Road

","
310 m²
","
4
","








5

","
Spacious 4 bedroom Maisonettes for sale
",Property Point Urban Kenya,"
KSh 18,000,000
"
2744,"
Studio apartment for sale in Cbd
","

Cbd, Starehe

",-,"
0
",-,"
Eagle Towers Studio
",Rescom Ventures Ltd,"
KSh 3,000,000
"
2745,"
1 bedroom apartment for sale in Lavington
","

Off Ole Ndume, Lavington, Dagoretti North
 
","
58 m²
","
1
","








1

","
1 BEDROOM APARTMENT FOR SALE IN LAVINGTON
",Abode Realty,"
KSh 5,900,000
"
2746,"
1 bedroom apartment for sale in Dagoretti Corner
","

Dagoretti Corner, Dagoretti South

",-,"
1
","








1

","
WELL PRICED Studios, 1Bed, WANYEE RD Off Naivas...
",Citiscape Valuers & Estate Agents Ltd,"
KSh 2,000,000
"
2747,"
0.5 ac land for sale in Karen
","

Karen, Langata

",-,-,-,"
Land for Sale in Karen
",LIKO Limited,"
KSh 27,000,000
"
2748,"
3 bedroom house for sale in Baraka/Nyayo
","

101e, Baraka Estate, Embakasi, Baraka/Nyayo, Embakasi

","
2800 ft²
","
3
","








3

","
Luxurious architecturally designed three bedroo...
",Ace Realtors Limited,"
KSh 12,000,000
"
2749,"
3 bedroom house for sale in Kiambu Road
","

Eden Ville Estate, Kiambu Road, Kiambu Road

",-,"
3
","








2

","
3 Br Maisonette For Sale in Eden Ville Estate
",Apogee Realty Homes,"
KSh 20,295,000
"
2750,"
Office for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Westery Plaza
",Tysons Limited,"
KSh 10,500
"
2751,"
10 ac residential land for sale in Karen
","

Karen, Langata

","
10 ac
",-,-,"
10 acres residential vacant land for sale in Ka...
",Pam Golding Properties,"
KSh 600,000,000
"
2752,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
207 m²
","
3
","








3

","
NEW 3 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 16,500,000
"
2753,"
4 bedroom villa for sale in Karen
","

BOGANI ROAD, Karen, Langata

","
623 m²
","
4
","








 5

","
4 Bedrooms + 2 Sqs FOR SALE in Karen Ksh. 70M
",Sir Francis Marketing & Consultants Ltd,"
KSh 70,000,000
"
2754,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








5

","
Elegant 5 Bedroom Houses For Sale – Karen
",Realty Plus,"
KSh 120,000,000
"
